epochs,argmax > 0.5,argmax < 0.5,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false,sparse_val
0,456,29544,2334,7797,3157,16712,265373
1,9001,20999,7884,8135,3407,10574,236480
2,14149,15851,15067,6638,2865,5430,229424
3,18930,11070,18670,5910,2004,3416,199669
4,20318,9682,20748,5408,1549,2295,193121
5,21811,8189,22275,4962,1037,1726,175980
6,22570,7430,23207,4749,762,1282,165379
7,22535,7465,23750,4560,649,1041,169582
8,23105,6895,24194,4491,520,795,162050
9,23016,6984,24688,4274,396,642,164692
10,22968,7032,24775,4317,372,536,166472
11,23601,6399,25233,4034,275,458,156780
12,22856,7144,25134,4224,254,388,171194
13,23235,6765,25243,4176,251,330,166479
14,23294,6706,25274,4151,249,326,164576
15,23114,6886,25449,4046,222,283,171628
16,23383,6617,25696,3871,183,250,168423
