epochs,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false
0,3,695,3,683
1,2,677,5,700
2,10,692,8,674
3,12,681,6,685
4,7,671,14,692
5,20,677,37,650
6,97,542,101,644
7,72,691,400,221
8,201,428,508,247
9,215,420,605,144
10,261,460,601,62
11,229,457,640,58
12,203,462,668,51
13,190,493,678,23
14,155,494,712,23
15,191,496,674,23
16,180,414,685,105
17,177,498,686,23
18,188,499,674,23
19,192,501,668,23
20,176,504,681,23
21,199,506,656,23
22,161,506,694,23
23,145,514,702,23
24,178,515,667,24
25,177,522,662,23
26,170,535,654,25
27,192,509,629,54
28,186,537,633,28
29,180,545,635,24
30,179,547,633,25
31,200,548,611,25
32,228,547,580,29
33,251,550,557,26
34,230,553,575,26
35,245,554,559,26
36,272,554,532,26
37,262,556,539,27
38,235,557,565,27
39,281,559,517,27
40,271,561,524,28
41,314,564,479,27
42,369,553,421,41
43,387,483,389,125
44,302,584,466,32
45,307,589,460,28
46,324,590,440,30
47,307,593,452,32
48,293,597,465,29
49,308,599,447,30
50,290,600,464,30
51,321,600,433,30
52,412,515,342,115
53,304,494,450,136
54,376,506,377,125
55,391,599,362,32
56,385,598,367,34
57,373,602,378,31
58,367,570,384,63
59,398,599,353,34
60,347,502,404,131
61,383,557,366,78
62,428,470,321,165
63,365,501,384,134
64,330,494,419,141
65,363,509,386,126
66,354,504,395,131
67,355,604,393,32
68,449,580,297,58
69,448,606,298,32
70,419,605,326,34
71,464,607,280,33
72,431,609,311,33
73,448,596,294,46
74,403,514,337,130
75,419,611,321,33
76,418,609,323,34
77,394,515,347,128
78,394,566,346,78
79,471,508,269,136
80,435,519,305,125
81,416,611,324,33
82,441,611,299,33
83,506,611,234,33
84,441,611,299,33
85,471,611,269,33
86,477,611,263,33
87,465,611,275,33
88,480,611,260,33
89,470,611,270,33
90,447,611,293,33
91,490,611,250,33
92,452,611,288,33
93,509,611,231,33
94,517,611,223,33
95,483,611,257,33
96,504,611,236,33
97,485,611,255,33
98,472,611,268,33
99,497,611,243,33
100,474,611,266,33
101,519,611,221,33
102,511,611,229,33
103,462,595,278,49
104,502,602,238,42
105,538,611,202,33
106,502,610,239,33
107,507,610,234,33
108,487,609,255,33
109,525,609,217,33
110,524,610,217,33
111,524,611,216,33
112,548,610,193,33
113,527,611,213,33
114,540,611,200,33
115,538,611,202,33
116,506,611,234,33
117,534,611,206,33
118,524,611,216,33
119,549,611,191,33
120,562,611,178,33
121,521,611,219,33
122,519,611,221,33
123,554,593,186,51
124,511,574,229,70
125,528,590,212,54
126,558,609,184,33
127,545,610,196,33
128,539,611,201,33
129,560,611,180,33
130,550,587,191,56
131,487,525,254,118
132,482,517,258,127
133,464,507,278,135
134,524,569,218,73
135,520,609,222,33
136,570,609,172,33
137,568,609,174,33
138,548,609,194,33
139,558,609,184,33
140,551,596,191,46
141,582,611,158,33
142,565,598,175,46
143,588,611,152,33
144,548,603,192,41
145,514,611,226,33
146,567,610,174,33
147,593,609,149,33
148,593,609,149,33
149,586,609,156,33
150,546,610,195,33
151,579,602,162,41
152,588,610,153,33
153,577,610,164,33
154,596,611,144,33
155,578,611,162,33
156,591,610,150,33
157,623,609,119,33
158,568,610,173,33
159,578,611,162,33
160,601,611,139,33
161,607,611,133,33
162,579,611,161,33
163,571,611,169,33
164,563,611,177,33
165,577,611,163,33
166,574,611,166,33
167,547,611,193,33
168,599,611,141,33
169,541,608,199,36
170,506,576,234,68
171,567,612,172,33
172,564,612,175,33
173,619,612,120,33
174,601,612,138,33
175,595,612,144,33
176,577,609,162,36
177,556,602,184,42
178,553,594,187,50
179,538,611,202,33
180,528,548,212,96
181,543,489,199,153
182,528,609,214,33
183,565,597,177,45
184,593,609,149,33
185,611,609,131,33
186,609,610,132,33
187,605,611,135,33
188,615,611,125,33
189,614,611,126,33
190,610,611,130,33
191,615,611,125,33
192,624,611,116,33
193,612,611,128,33
194,622,611,118,33
195,619,611,121,33
196,609,601,131,43
197,590,611,150,33
198,589,603,151,41
199,613,591,127,53
