epochs,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false
0,696,0,662,26
1,696,0,688,0
2,696,0,688,0
3,696,0,688,0
4,696,0,688,0
5,696,0,688,0
6,696,0,688,0
7,696,0,688,0
8,696,0,688,0
9,696,0,688,0
10,696,0,688,0
11,696,0,688,0
12,696,0,688,0
13,696,0,688,0
14,696,0,688,0
15,696,0,688,0
16,696,0,688,0
17,696,0,688,0
18,696,0,688,0
19,696,0,688,0
20,696,0,688,0
21,696,0,688,0
22,845,0,539,0
23,1262,0,122,0
24,1268,0,116,0
25,1312,0,72,0
26,1312,0,72,0
27,1275,0,109,0
28,1260,0,124,0
29,1193,0,191,0
30,1182,0,202,0
31,1182,0,202,0
32,1182,0,202,0
33,1179,0,205,0
34,1175,0,209,0
35,1141,0,243,0
36,1141,0,243,0
37,1142,0,242,0
38,1144,0,240,0
39,1145,0,239,0
40,1142,0,242,0
41,1147,0,237,0
42,1163,0,221,0
43,1214,0,170,0
44,1205,0,179,0
45,1209,0,175,0
46,1206,0,178,0
47,1190,0,194,0
48,1147,0,237,0
49,1147,0,237,0
50,1147,0,237,0
51,1147,0,237,0
52,1147,0,237,0
53,1147,0,237,0
54,1147,0,237,0
55,1147,0,237,0
56,1147,0,237,0
57,1144,0,240,0
58,1147,0,237,0
59,1140,0,244,0
60,1137,0,247,0
61,1140,0,244,0
62,1140,0,244,0
63,1140,0,244,0
64,1140,0,244,0
65,1140,0,244,0
66,1140,0,244,0
67,1140,0,244,0
68,1140,0,244,0
69,1140,0,244,0
70,1140,0,244,0
71,1140,0,244,0
72,1140,0,244,0
73,1140,0,244,0
74,1140,0,244,0
75,1140,0,244,0
76,1140,0,244,0
77,1140,0,244,0
78,1140,0,244,0
79,1140,0,244,0
80,1140,0,244,0
81,1140,0,244,0
82,1140,0,244,0
83,1140,0,244,0
84,1140,0,244,0
85,1140,0,244,0
86,1140,0,244,0
87,1140,0,244,0
88,1140,0,244,0
89,1140,0,244,0
90,1140,0,244,0
91,1140,0,244,0
92,1140,0,244,0
93,1140,0,244,0
94,1140,0,244,0
95,1140,0,244,0
96,1140,0,244,0
97,1140,0,244,0
98,1140,0,244,0
99,1143,0,241,0
100,1144,0,240,0
101,1140,0,244,0
102,1147,0,237,0
103,1150,0,234,0
104,1148,0,236,0
105,1150,0,234,0
106,1150,0,234,0
107,1165,0,219,0
108,1198,0,186,0
109,1198,0,186,0
110,1198,0,186,0
111,1198,0,186,0
112,1198,0,186,0
113,1201,0,183,0
114,1207,0,177,0
115,1202,0,182,0
116,1211,0,173,0
117,1202,0,182,0
118,1212,0,172,0
119,1230,0,154,0
120,1214,0,170,0
121,1233,0,151,0
122,1235,0,149,0
123,1237,0,147,0
124,1241,0,143,0
125,1245,0,139,0
126,1248,0,136,0
127,1250,0,134,0
128,1255,0,129,0
129,1252,0,132,0
130,1263,0,121,0
131,1281,0,103,0
132,1284,0,100,0
133,1285,0,99,0
134,1288,0,96,0
135,1288,0,96,0
136,1286,0,98,0
137,1284,0,100,0
138,1288,0,96,0
139,1288,0,96,0
140,1288,0,96,0
141,1288,0,96,0
142,1288,0,96,0
143,1288,0,96,0
144,1288,0,96,0
145,1288,0,96,0
146,1288,0,96,0
147,1288,0,96,0
148,1288,0,96,0
149,1288,0,96,0
150,1290,0,94,0
151,1288,0,96,0
152,1289,0,95,0
153,1296,0,88,0
154,1290,0,94,0
155,1293,0,91,0
156,1296,0,88,0
157,1294,0,90,0
158,1293,0,91,0
159,1299,0,85,0
160,1306,0,78,0
161,1311,0,73,0
162,1308,0,76,0
163,1311,0,73,0
164,1309,0,75,0
165,1314,0,70,0
166,1314,0,70,0
167,1315,0,69,0
168,1312,0,72,0
169,1310,0,74,0
170,1319,0,65,0
171,1319,0,65,0
172,1320,0,64,0
173,1308,0,76,0
174,1311,0,73,0
175,1316,0,68,0
176,1324,0,60,0
177,1318,0,66,0
178,1314,0,70,0
179,1324,0,60,0
180,1317,0,67,0
181,1316,0,68,0
182,1327,0,57,0
183,1331,0,53,0
184,1325,0,59,0
185,1320,0,64,0
186,1330,0,54,0
187,1323,0,61,0
188,1304,0,80,0
189,1323,0,61,0
190,1320,0,64,0
191,1322,0,62,0
192,1328,0,56,0
193,1331,0,53,0
194,1332,0,52,0
195,1331,0,53,0
196,1328,0,56,0
197,1331,0,53,0
198,1329,0,55,0
199,1331,0,53,0
