epochs,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false
0,801,297,158,128
1,1189,24,166,5
2,1209,20,154,1
3,1244,35,102,3
4,1229,78,52,25
5,1150,168,30,36
6,1200,123,31,30
7,1216,119,25,24
8,1214,133,16,21
9,1222,130,11,21
10,1242,121,3,18
11,1250,117,0,17
12,1243,132,0,9
13,1243,136,0,5
14,1245,136,0,3
15,1248,133,0,3
16,1246,135,0,3
17,1245,139,0,0
18,1250,131,0,3
19,1249,135,0,0
20,1249,135,0,0
21,1249,135,0,0
22,1249,135,0,0
23,1249,135,0,0
24,1251,130,0,3
25,1249,135,0,0
26,1252,132,0,0
27,1250,134,0,0
28,1249,135,0,0
29,1252,132,0,0
30,1251,133,0,0
31,1253,131,0,0
32,1253,131,0,0
33,1251,133,0,0
34,1253,131,0,0
35,1253,131,0,0
36,1254,130,0,0
37,1254,130,0,0
38,1253,131,0,0
39,1254,130,0,0
40,1254,130,0,0
41,1254,130,0,0
42,1254,130,0,0
43,1256,128,0,0
44,1256,128,0,0
45,1254,130,0,0
46,1257,127,0,0
47,1256,128,0,0
48,1256,128,0,0
49,1257,127,0,0
50,1257,127,0,0
51,1257,127,0,0
52,1257,127,0,0
53,1257,127,0,0
54,1257,127,0,0
55,1257,127,0,0
56,1257,127,0,0
57,1257,127,0,0
58,1257,127,0,0
59,1257,127,0,0
60,1257,127,0,0
61,1257,127,0,0
62,1257,127,0,0
63,1257,127,0,0
64,1257,127,0,0
65,1257,127,0,0
66,1257,127,0,0
67,1257,127,0,0
68,1257,127,0,0
69,1257,127,0,0
70,1257,127,0,0
71,1257,127,0,0
72,1257,127,0,0
73,1258,126,0,0
74,1257,127,0,0
75,1257,127,0,0
76,1258,126,0,0
77,1258,126,0,0
78,1258,126,0,0
79,1258,126,0,0
80,1258,126,0,0
81,1258,126,0,0
82,1258,126,0,0
83,1258,126,0,0
84,1258,126,0,0
85,1258,126,0,0
86,1258,126,0,0
87,1258,126,0,0
88,1258,126,0,0
89,1258,126,0,0
90,1258,126,0,0
91,1258,126,0,0
92,1258,126,0,0
93,1258,126,0,0
94,1258,126,0,0
95,1258,126,0,0
96,1258,126,0,0
97,1258,126,0,0
98,1258,126,0,0
99,1258,126,0,0
100,1258,126,0,0
101,1258,126,0,0
102,1258,126,0,0
103,1258,126,0,0
104,1258,126,0,0
105,1258,126,0,0
106,1258,126,0,0
107,1258,126,0,0
108,1258,126,0,0
109,1258,126,0,0
110,1258,126,0,0
111,1258,126,0,0
112,1258,126,0,0
113,1258,126,0,0
114,1258,126,0,0
115,1258,126,0,0
116,1258,126,0,0
117,1258,126,0,0
118,1258,126,0,0
119,1258,126,0,0
120,1258,126,0,0
121,1258,126,0,0
122,1258,126,0,0
123,1258,126,0,0
124,1258,126,0,0
125,1258,126,0,0
126,1258,126,0,0
127,1258,126,0,0
128,1258,126,0,0
129,1258,126,0,0
130,1258,126,0,0
131,1258,126,0,0
132,1258,126,0,0
133,1258,126,0,0
134,1258,126,0,0
135,1258,126,0,0
136,1258,126,0,0
137,1258,126,0,0
138,1258,126,0,0
139,1258,126,0,0
140,1258,126,0,0
141,1258,126,0,0
142,1258,126,0,0
143,1258,126,0,0
144,1258,126,0,0
145,1258,126,0,0
146,1258,126,0,0
147,1258,126,0,0
148,1258,126,0,0
149,1258,126,0,0
150,1258,126,0,0
151,1258,126,0,0
152,1258,126,0,0
153,1258,126,0,0
154,1258,126,0,0
155,1258,126,0,0
156,1258,126,0,0
157,1258,126,0,0
158,1258,126,0,0
159,1258,126,0,0
160,1258,126,0,0
161,1258,126,0,0
162,1258,126,0,0
163,1258,126,0,0
164,1258,126,0,0
165,1258,126,0,0
166,1258,126,0,0
167,1258,126,0,0
168,1258,126,0,0
169,1258,126,0,0
170,1258,126,0,0
171,1258,126,0,0
172,1258,126,0,0
173,1258,126,0,0
174,1258,126,0,0
175,1258,126,0,0
176,1258,126,0,0
177,1258,126,0,0
178,1258,126,0,0
179,1258,126,0,0
180,1258,126,0,0
181,1258,126,0,0
182,1258,126,0,0
183,1258,126,0,0
184,1258,126,0,0
185,1258,126,0,0
186,1258,126,0,0
187,1258,126,0,0
188,1258,126,0,0
189,1258,126,0,0
190,1258,126,0,0
191,1258,126,0,0
192,1258,126,0,0
193,1258,126,0,0
194,1258,126,0,0
195,1258,126,0,0
196,1258,126,0,0
197,1258,126,0,0
198,1258,126,0,0
199,1258,126,0,0
