epochs,focus_true_pred_true,focus_false_pred_true,focus_true_pred_false,focus_false_pred_false
0,102,559,65,658
1,114,602,448,220
2,645,120,526,93
3,995,0,350,39
4,1070,0,294,20
5,1064,0,320,0
6,1111,0,273,0
7,1064,0,320,0
8,1008,0,376,0
9,1101,0,283,0
10,1123,0,261,0
11,1141,0,243,0
12,1190,0,194,0
13,1160,0,224,0
14,1141,0,243,0
15,1140,0,244,0
16,1194,0,190,0
17,1190,0,194,0
18,1193,0,191,0
19,1208,0,176,0
20,1204,0,180,0
21,1209,0,175,0
22,1206,0,178,0
23,1218,0,166,0
24,1212,0,172,0
25,1206,0,178,0
26,1205,0,179,0
27,1210,0,174,0
28,1217,0,167,0
29,1223,0,161,0
30,1218,0,166,0
31,1221,0,163,0
32,1217,0,167,0
33,1222,0,162,0
34,1219,0,165,0
35,1221,0,163,0
36,1214,0,170,0
37,1210,0,174,0
38,1226,0,158,0
39,1230,0,154,0
40,1222,0,162,0
41,1205,0,179,0
42,1207,0,177,0
43,1229,0,155,0
44,1236,0,148,0
45,1218,0,166,0
46,1214,0,170,0
47,1223,0,161,0
48,1225,0,159,0
49,1243,0,141,0
50,1238,0,146,0
51,1243,0,141,0
52,1244,0,140,0
53,1224,0,160,0
54,1236,0,148,0
55,1217,0,167,0
56,1202,0,182,0
57,1211,0,173,0
58,1218,0,166,0
59,1227,0,157,0
60,1227,0,157,0
61,1237,0,147,0
62,1225,0,159,0
63,1230,0,154,0
64,1237,0,147,0
65,1231,0,153,0
66,1241,0,143,0
67,1234,0,150,0
68,1251,0,133,0
69,1261,0,123,0
70,1253,0,131,0
71,1260,0,124,0
72,1252,0,132,0
73,1255,0,129,0
74,1253,0,131,0
75,1261,0,123,0
76,1258,0,126,0
77,1263,0,121,0
78,1256,0,128,0
79,1251,0,133,0
80,1242,0,142,0
81,1234,0,150,0
82,1248,0,136,0
83,1261,0,123,0
84,1249,0,135,0
85,1256,0,128,0
86,1244,0,140,0
87,1272,0,112,0
88,1279,0,105,0
89,1281,0,103,0
90,1277,0,107,0
91,1278,0,106,0
92,1283,0,101,0
93,1278,0,106,0
94,1273,0,111,0
95,1281,0,103,0
96,1288,0,96,0
97,1283,0,101,0
98,1293,0,91,0
99,1290,0,94,0
100,1287,0,97,0
101,1291,0,93,0
102,1283,0,101,0
103,1281,0,103,0
104,1278,0,106,0
105,1273,0,111,0
106,1274,0,110,0
107,1277,0,107,0
108,1267,0,117,0
109,1273,0,111,0
110,1289,0,95,0
111,1275,0,109,0
112,1286,0,98,0
113,1283,0,101,0
114,1278,0,106,0
115,1299,0,85,0
116,1298,0,86,0
117,1288,0,96,0
118,1291,0,93,0
119,1294,0,90,0
120,1299,0,85,0
121,1283,0,101,0
122,1289,0,95,0
123,1292,0,92,0
124,1281,0,103,0
125,1279,0,105,0
126,1270,0,114,0
127,1281,0,103,0
128,1281,0,103,0
129,1281,0,103,0
130,1286,0,98,0
131,1287,0,97,0
132,1295,0,89,0
133,1286,0,98,0
134,1302,0,82,0
135,1301,0,83,0
136,1310,0,74,0
137,1301,0,83,0
138,1278,0,106,0
139,1289,0,95,0
140,1302,0,82,0
141,1298,0,86,0
142,1303,0,81,0
143,1308,0,76,0
144,1308,0,76,0
145,1307,0,77,0
146,1305,0,79,0
147,1306,0,78,0
148,1297,0,87,0
149,1299,0,85,0
150,1293,0,91,0
151,1298,0,86,0
152,1309,0,75,0
153,1306,0,78,0
154,1311,0,73,0
155,1308,0,76,0
156,1310,0,74,0
157,1308,0,76,0
158,1308,0,76,0
159,1311,0,73,0
160,1311,0,73,0
161,1306,0,78,0
162,1311,0,73,0
163,1311,0,73,0
164,1311,0,73,0
165,1311,0,73,0
166,1309,0,75,0
167,1305,0,79,0
168,1315,0,69,0
169,1316,0,68,0
170,1309,0,75,0
171,1310,0,74,0
172,1321,0,63,0
173,1305,0,79,0
174,1296,0,88,0
175,1317,0,67,0
176,1314,0,70,0
177,1318,0,66,0
178,1314,0,70,0
179,1311,0,73,0
180,1316,0,68,0
181,1319,0,65,0
182,1313,0,71,0
183,1309,0,75,0
184,1316,0,68,0
185,1323,0,61,0
186,1305,0,79,0
187,1314,0,70,0
188,1320,0,64,0
189,1309,0,75,0
190,1300,0,84,0
191,1316,0,68,0
192,1317,0,67,0
193,1307,0,77,0
194,1299,0,85,0
195,1324,0,60,0
196,1323,0,61,0
197,1320,0,64,0
198,1319,0,65,0
199,1316,0,68,0
