sno,b_c_fixed,a_fixed,a_value,b_value,c_value,loss
0,True,True,0,0,0,0.6931471805599453
0,True,False,0.0,0,0,0.6931471805599453
0,False,True,0.0,3.8835198168598124,-5.555262798006788,0.13805901079919952
2,True,False,-0.10472563211271871,3.8835198168598124,-5.555262798006788,0.09458171862456452
2,False,True,-0.10472563211271871,5.446230597455083,-6.4194212342688335,0.02952617998731775
4,True,False,-0.18327383142317996,5.446230597455083,-6.4194212342688335,0.019197027418540284
4,False,True,-0.18327383142317996,6.300338186962907,-6.391317664611429,0.008590071810701469
6,True,False,-0.2487750467293611,6.300338186962907,-6.391317664611429,0.0060299244155226335
6,False,True,-0.2487750467293611,6.770352037966015,-6.270161356066749,0.0034279213448801847
8,True,False,-0.28769555027278154,6.770352037966015,-6.270161356066749,0.0030384751842118893
8,False,True,-0.28769555027278154,7.062790634001577,-6.178208743616421,0.0020647672401198896
10,True,False,-0.31165885197238813,7.062790634001577,-6.178208743616421,0.001976627715792684
10,False,True,-0.31165885197238813,7.270877814888595,-6.108864315062178,0.0014872253967426212
12,True,False,-0.32840789333469866,7.270877814888595,-6.108864315062178,0.0014566349898941689
12,False,True,-0.32840789333469866,7.431561320742107,-6.054049280584285,0.0011655369689912685
14,True,False,-0.3411332628605385,7.431561320742107,-6.054049280584285,0.0011518318091945214
14,False,True,-0.3411332628605385,7.562210147522132,-6.009004625010311,0.0009596339121373935
16,True,False,-0.3513365417518969,7.562210147522132,-6.009004625010311,0.0009524278935439946
16,False,True,-0.3513365417518969,7.672216152510397,-5.970895108149959,0.0008162937870838802
18,True,False,-0.3598246491584121,7.672216152510397,-5.970895108149959,0.0008120720473911286
18,False,True,-0.3598246491584121,7.767192820923787,-5.937933867172531,0.0007106766161663351
20,True,False,-0.3670760680180993,7.767192820923787,-5.937933867172531,0.0007080036537024723
20,False,True,-0.3670760680180993,7.850750386770292,-5.908933371846516,0.0006295833767025218
22,True,False,-0.37339602364570706,7.850750386770292,-5.908933371846516,0.0006277894573650805
22,False,True,-0.37339602364570706,7.92534315382863,-5.88306845341281,0.0005653392484361537
24,True,False,-0.3789903900796646,7.92534315382863,-5.88306845341281,0.0005640794145504243
24,False,True,-0.3789903900796646,7.992713450982396,-5.859744264761331,0.0005131734272572797
26,True,False,-0.38400426189783504,7.992713450982396,-5.859744264761331,0.0005122559120954498
26,False,True,-0.38400426189783504,8.054141841828022,-5.8385187136113865,0.0004699629198932202
28,True,False,-0.38854358568498043,8.054141841828022,-5.8385187136113865,0.0004692744614547183
28,False,True,-0.38854358568498043,8.110596616762425,-5.819054723976498,0.00043357709963351085
30,True,False,-0.39268800987764746,8.110596616762425,-5.819054723976498,0.0004330474327042136
30,False,True,-0.39268800987764746,8.162827471386697,-5.801089654082351,0.00040251228251429695
32,True,False,-0.3964988866167016,8.162827471386697,-5.801089654082351,0.00040209600887689814
32,False,True,-0.3964988866167016,8.211426583809002,-5.784415018549292,0.00037567679062072994
34,True,False,-0.40002445557525224,8.211426583809002,-5.784415018549292,0.00037534356077149943
34,False,True,-0.40002445557525224,8.256869792233358,-5.7688626367600655,0.00035225880712772386
36,True,False,-0.4033033174836344,8.256869792233358,-5.7688626367600655,0.0003519877338482893
36,False,True,-0.4033033174836344,8.299545163254997,-5.754294922387686,0.0003316420463339779
38,True,False,-0.4063668306271965,8.299545163254997,-5.754294922387686,0.00033141838983782553
38,False,True,-0.4063668306271965,8.33977330963166,-5.740597919252068,0.0003133501949426726
