c0,c1,c2,c3,c4,c5,label
-0.831284793678574,-0.2221359443785513,0.11238436336748803,-0.043336489684565514,0.01758401065156498,-0.040648025021189825,1.0
-0.5874570105475582,-0.4764434040823142,-0.2112977298310748,0.2720084466403555,-0.01748435658249088,0.0939265110668581,1.0
-0.06051476816422361,-0.6261220157573605,0.43754170876534587,0.009842248389310828,0.06170026690051816,-0.031155994028355068,1.0
0.5689233731363776,0.3592423973377288,0.12353245287697628,-0.504701399726929,0.04886396766333296,0.1320163851393068,1.0
0.6836598709291679,-0.058470270389461516,-0.3567529849105951,-0.49427266149916604,0.18234702402419867,0.028069846209220845,1.0
0.3049672845820677,0.4302255357801738,-0.03234843655855781,0.10144753403795795,-0.01901760097947227,-0.15721836466549236,1.0
0.004238031959202784,0.27543028833693783,-0.02585556430812797,-0.006137000343387794,0.0036603946034306388,0.0005209638757011338,1.0
-0.439010004157431,-0.09007307775615779,0.5020204068643357,0.00974302716391518,0.01805016043537046,-0.17875863499258823,1.0
-0.1200031958159343,0.17414538862720644,0.1724813898570229,-0.05067674318728994,0.012804518809339256,-0.023127723169616823,1.0
-0.06403683877366945,-0.01224070436350355,-0.01409786828338333,-0.0009172473067460718,-0.004199082521347777,-0.00373649714569775,1.0
0.16399663586680016,0.0023208209301820402,0.05800939934640758,0.03437140931361074,0.033592036160303755,0.05323570453628581,1.0
-0.5884383380020729,0.02479263804030366,0.248320017252024,-0.08169346161392388,-0.001197830724775656,0.0064896099002052865,1.0
0.03766157992022659,0.3145697802941111,0.15940997215074373,-0.18309635715411973,-0.023751735795408194,0.005693222843733271,1.0
0.11679768074847574,0.305693097279327,-0.22084199296108645,-0.024925133352651875,-0.028204417378725383,-0.01124597033595416,1.0
-0.19076337538295055,-0.24151785455072386,-0.010989041132417636,-0.023039864796445788,-0.004752450232566309,0.022387781283730833,1.0
-0.3514196393647746,0.265609092254905,0.16373439384902255,-0.012948804504623755,-0.00608132195759859,0.01973798664170214,1.0
-0.0013515635424087196,-0.0004410899569371449,0.00012777387556414183,0.0007975602334878287,-0.00055429329182774,0.00013902174786531318,1.0
0.0697619889261721,-0.18725820480953773,0.07700215850664129,-0.089334718670336,-0.11120879057047578,-0.05689097681621339,1.0
