c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,label
-0.44306806715425834,-0.632161655395681,0.12478791793609685,0.6701407369282493,0.4713079374585945,0.5536922717122345,0.2719259277499655,0.14989567617883207,-0.4472031828386513,0.6584082080690586,-0.13376159534652485,-0.5340849734514076,-0.45800784241576176,-0.05653324801150015,-0.42283171947927795,0.01125819659126836,0.0
0.03776415947573472,-0.05969862929133029,-0.05875114439413263,0.12974029785153035,-0.11989358056653922,0.015104210794932734,-0.10185509405620458,-0.11993529770104876,0.08244487342607333,-0.09857439459558381,0.07869306953336679,0.04795195039262721,0.09190345791465113,-0.02283568460800572,-0.04858219231510598,-0.011388106604668238,1.0
0.8236205763792852,1.0282130494358535,-0.025324314019930624,-0.687544037987569,0.28857736917328997,-0.9417845550196929,0.1930446441763119,-0.44817049023632216,0.18941759249058246,0.10106095080181923,0.10467336237239945,-0.659289117833258,0.5743266828126496,0.9125106859493408,-0.03772803478859309,-0.7099855916580944,0.0
-0.0013266961164842541,0.0007665954297839989,0.0035782282056482304,-0.005443683729711621,0.002641718271888402,0.005246633441487462,0.004015835229032476,-0.0027289828293466643,0.0029625239876877227,0.001281432237384564,-0.003322880755467117,0.0034435349723723704,-0.0021771791545671625,0.0036055013183042585,-0.0007920723166279438,0.0028219014327882474,1.0
-0.0664762590283716,-0.2780512399575561,0.18272391470007435,0.14597454518311379,0.33246602807816816,0.1731980026171137,-0.05422734702379042,-0.30653784399704403,0.25299053064425,-0.07798357492208015,0.16115674819564516,-0.3092481031469781,0.31076970154767025,0.25345637206863153,0.13487349703070212,0.23751703135297283,1.0
-0.05142093779994305,0.027198432396199353,-0.03757609429382494,0.02988964492641072,-0.1048825889679028,-0.08556236095222389,-0.08382434946223888,0.03904978739860063,-0.024894066897516335,-0.10160914512009762,-0.0015996141480120294,0.08585770478293485,0.07633518765375323,-0.07630560887114977,-0.012617455635411853,-0.03411530515378448,1.0
0.0678861478898555,-0.16850677575138934,0.0378295345805846,0.10180199087947152,-0.07851879279723936,-0.16823703225739614,-0.09232956232416963,0.21980201671549887,0.09601504364213016,0.1591500134828987,0.062150288815445105,-0.18825107863317667,0.20404881117567156,-0.20653268170702513,0.20217862852169446,-0.1836106079231338,1.0
0.2127109912665119,0.8611393076671597,-0.10563938287142674,-0.4234085449192246,-0.4333967156207935,0.5666757132524044,-0.7556506466837725,0.7298491121368766,0.403390551868834,-0.2219963181762486,-0.5864393147456534,-0.36506352045373197,0.07224107315526383,0.41877468585780764,-0.008989083831210155,0.27034513052643816,0.0
0.0019431499569052492,0.002306924694786546,-0.00021565857270732202,0.0009650566533138914,-0.002034257432550216,-0.0010837103939427344,0.0016372358237093784,-0.0016404396550541954,-0.00015966740710289754,-0.0017792754382291492,-0.001566025975705681,0.00020470140472321293,-0.0023456407980966,0.001764462365070129,-0.0006529193721967059,0.00010750163755928648,1.0
0.18602403023838754,-0.10086554883298693,-0.19190427301802376,0.21137493312598138,0.1501536365946683,-0.11140863847774414,-0.13166564711280235,0.08584521726947975,0.23242626427385105,0.04629772417313708,-0.10846027302398653,-0.20932179955589525,0.047483176696519504,0.08159692935571543,-0.09809271916840298,-0.11362520876832215,1.0
